GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
emdb1,com.endurance.emdb.service,ItemCastServiceBean,123,0,10,0,33,0,16,0,11,0
emdb1,com.endurance.emdb.service,ItemReviewAndRatingServiceBean,179,0,6,0,46,0,13,0,10,0
emdb1,com.endurance.emdb.service,UserServiceBean,58,25,6,4,14,8,9,3,4,3
emdb1,com.endurance.emdb.service,ItemServiceBean,72,0,4,0,18,0,10,0,8,0
emdb1,com.endurance.emdb,Application,5,3,0,0,2,1,1,1,1,1
emdb1,com.endurance.emdb.model,ItemCast,195,0,32,0,5,0,29,0,13,0
emdb1,com.endurance.emdb.model,ItemReviewAndRating,34,0,0,0,14,0,10,0,10,0
emdb1,com.endurance.emdb.model,User,16,35,0,0,5,15,5,10,5,10
emdb1,com.endurance.emdb.model,Item,152,0,24,0,4,0,23,0,11,0
emdb1,com.endurance.emdb.Swagger,SwaggerConfiguration,31,0,0,0,13,0,3,0,3,0
emdb1,com.endurance.emdb.controller,WelcomeController,9,0,0,0,2,0,2,0,2,0
emdb1,com.endurance.emdb.controller,ItemCastController,83,0,4,0,17,0,9,0,7,0
emdb1,com.endurance.emdb.controller,ItemReviewAndRatingController,80,0,0,0,15,0,8,0,8,0
emdb1,com.endurance.emdb.controller,UserController,32,44,3,3,6,7,4,5,2,4
emdb1,com.endurance.emdb.controller,ItemController,62,0,2,0,13,0,7,0,6,0
